,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,row_id
15,City Hotel,144,2016,August,34,18,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,0,Transient,106.54,0,1,0,15
16,City Hotel,56,2017,February,5,1,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,60.0,0,0,1,16
17,Resort Hotel,111,2016,April,18,28,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,52.2,0,1,0,17
18,City Hotel,165,2016,August,34,19,2,3,3,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,180.2,0,0,1,18
19,City Hotel,23,2017,February,5,3,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.0,0,0,1,19
20,Resort Hotel,203,2016,August,32,5,4,7,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,172.0,0,1,0,20
21,City Hotel,54,2017,April,14,3,1,4,1,0.0,0,BB,IRN,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,0,Transient,135.0,0,0,1,21
22,City Hotel,8,2015,September,37,11,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,118.5,0,1,2,22
23,Resort Hotel,143,2016,June,24,5,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,107.69,0,3,0,23
24,Resort Hotel,182,2016,June,23,3,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,97.3,0,0,1,24
25,City Hotel,49,2016,March,12,17,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.1,0,1,1,25
26,City Hotel,17,2016,November,48,25,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,124.0,0,3,0,26
27,Resort Hotel,2,2016,May,21,15,2,3,2,3.0,0,BB,PRT,Corporate,Corporate,0,0,0,H,H,1,No Deposit,0,Transient,140.0,1,3,0,27
28,City Hotel,70,2017,March,10,8,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,70.69,0,1,0,28
29,Resort Hotel,0,2016,October,43,22,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,40.0,0,0,0,29
30,City Hotel,6,2015,August,34,16,1,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,162.0,0,0,1,30
31,City Hotel,14,2015,October,42,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,100.0,0,0,1,31
32,City Hotel,27,2017,January,2,12,0,1,2,0.0,0,BB,ROU,Groups,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient-Party,78.0,0,2,0,32
33,Resort Hotel,259,2015,September,38,17,0,3,2,0.0,0,BB,GBR,Groups,Corporate,0,1,0,A,A,0,Non Refund,0,Transient,40.05,0,0,1,33
34,City Hotel,1,2016,November,47,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,111.0,0,0,0,34
35,City Hotel,78,2016,March,13,25,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0,1,35
36,Resort Hotel,1,2017,May,21,27,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,G,1,No Deposit,0,Transient,158.5,0,1,0,36
37,City Hotel,219,2016,August,34,20,1,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,96.0,0,0,0,37
38,Resort Hotel,22,2016,November,46,7,1,1,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,61.0,1,1,0,38
39,City Hotel,104,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,160.0,0,0,1,39
40,City Hotel,56,2016,July,31,27,0,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,125.1,0,1,0,40
41,City Hotel,201,2017,August,35,28,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,126.0,0,0,0,41
42,City Hotel,80,2016,December,49,3,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,75.0,0,0,0,42
43,Resort Hotel,2,2016,September,38,14,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,90.0,0,0,0,43
44,City Hotel,14,2015,October,41,5,1,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,109.0,0,0,0,44
45,City Hotel,23,2016,December,49,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,0,Transient,79.2,0,1,0,45
46,Resort Hotel,33,2016,November,47,15,0,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,26.99,0,1,0,46
47,Resort Hotel,146,2017,June,24,15,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,154.0,0,1,0,47
48,City Hotel,5,2016,April,17,18,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,95.0,0,0,1,48
49,City Hotel,4,2016,November,48,22,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.5,0,2,0,49
50,Resort Hotel,65,2017,May,18,3,3,9,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,0,Transient,95.0,0,0,1,50
51,City Hotel,59,2016,November,45,2,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.1,0,2,0,51
52,Resort Hotel,181,2015,August,35,24,1,5,2,2.0,0,HB,PRT,Online TA,TA/TO,0,1,0,G,G,0,No Deposit,0,Transient,244.0,0,0,1,52
53,City Hotel,189,2017,April,16,21,0,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,133.2,0,0,1,53
54,City Hotel,31,2016,July,28,7,0,3,2,1.0,0,BB,BRA,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,167.95,1,1,0,54
55,City Hotel,7,2016,June,27,28,1,5,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,182.0,0,0,0,55
56,Resort Hotel,0,2016,April,18,26,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,C,1,No Deposit,0,Transient,42.0,0,0,0,56
57,City Hotel,80,2017,March,13,31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0,1,57
58,Resort Hotel,50,2017,April,15,10,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.5,1,0,0,58
59,City Hotel,220,2016,August,34,15,1,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,99.0,1,1,0,59
60,Resort Hotel,111,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,70.0,0,0,1,60
61,City Hotel,46,2016,February,8,18,0,2,2,0.0,0,SC,TWN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.0,0,1,1,61
62,City Hotel,70,2017,April,15,15,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,129.6,0,1,0,62
63,Resort Hotel,130,2016,July,30,18,1,4,2,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,252.0,0,0,1,63
64,City Hotel,69,2016,October,43,16,2,3,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,153.05,0,1,0,64
65,Resort Hotel,4,2017,February,5,4,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,48.0,0,1,0,65
66,City Hotel,15,2017,January,3,20,2,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.31,0,1,0,66
67,City Hotel,21,2017,June,23,6,0,3,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,120.0,0,1,0,67
68,City Hotel,133,2017,January,1,3,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.6,0,1,1,68
69,City Hotel,5,2015,August,33,15,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,94.5,0,0,0,69
70,City Hotel,27,2015,December,53,31,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,129.5,0,0,0,70
71,City Hotel,128,2017,March,12,23,0,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,1,1,71
72,City Hotel,61,2016,December,51,16,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,0,0,72
73,Resort Hotel,221,2017,April,18,30,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,82.0,0,0,1,73
74,Resort Hotel,277,2015,October,41,6,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,E,0,No Deposit,0,Transient-Party,68.74,0,0,0,74
75,City Hotel,433,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,75
76,City Hotel,5,2017,May,18,1,1,1,3,0.0,0,BB,ECU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,220.0,0,2,0,76
77,City Hotel,0,2016,June,26,21,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,121.5,0,1,0,77
78,City Hotel,61,2017,January,4,25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,80.0,0,0,1,78
79,City Hotel,52,2017,March,11,13,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,80.0,0,0,1,79
80,City Hotel,335,2016,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,90.0,0,1,1,80
81,City Hotel,6,2015,October,41,5,1,3,2,0.0,0,BB,AUT,Direct,Direct,0,0,0,A,D,3,No Deposit,0,Transient,133.0,0,2,0,81
82,City Hotel,74,2017,April,13,1,2,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.0,0,1,1,82
83,City Hotel,16,2017,May,20,14,2,2,1,0.0,0,BB,IRL,Online TA,TA/TO,1,0,1,D,D,0,No Deposit,0,Transient,160.0,0,3,0,83
84,Resort Hotel,12,2016,May,19,4,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,0,1,84
85,City Hotel,141,2017,June,22,2,0,2,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,190.8,0,1,0,85
86,City Hotel,40,2016,June,27,26,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,0,0,86
87,City Hotel,35,2017,February,8,25,2,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,134.3,0,1,1,87
88,City Hotel,74,2016,December,49,2,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,75.0,0,0,0,88
89,City Hotel,14,2016,February,9,21,2,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,147.9,0,1,0,89
90,Resort Hotel,27,2016,April,15,4,1,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,125.0,0,0,1,90
91,City Hotel,105,2017,May,19,13,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.0,0,0,1,91
92,City Hotel,99,2017,August,31,2,0,4,3,1.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,0,Transient,260.0,1,2,0,92
93,Resort Hotel,1,2017,January,5,30,1,1,3,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,93.0,0,0,0,93
94,City Hotel,12,2015,October,41,4,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient-Party,72.0,0,0,0,94
95,City Hotel,451,2017,July,28,12,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,112.67,0,2,0,95
96,City Hotel,42,2015,September,39,21,1,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,85.5,0,2,1,96
97,City Hotel,2,2017,August,34,24,0,1,1,0.0,0,BB,MEX,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,130.0,0,0,0,97
98,Resort Hotel,69,2017,February,8,19,2,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,42.0,0,2,0,98
99,City Hotel,64,2016,September,39,24,0,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0,0,99
100,City Hotel,62,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,135.0,0,0,1,100
101,City Hotel,123,2015,November,45,6,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,60.0,0,0,0,101
102,Resort Hotel,1,2016,June,25,15,0,3,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,87.0,1,0,0,102
103,City Hotel,219,2015,September,36,4,1,2,1,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,76.67,0,0,0,103
104,Resort Hotel,73,2016,January,5,29,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,0,Transient,44.8,0,1,1,104
105,Resort Hotel,140,2017,May,21,27,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,1,1,105
106,Resort Hotel,350,2017,March,12,24,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,30.0,0,0,1,106
107,Resort Hotel,0,2017,March,11,13,1,0,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,65.0,0,1,0,107
108,City Hotel,124,2017,July,30,29,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,125.0,0,0,0,108
109,Resort Hotel,209,2016,May,22,24,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,48.72,0,1,1,109
110,City Hotel,15,2016,February,7,12,0,2,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0,1,110
111,Resort Hotel,71,2016,October,44,24,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,61.2,0,0,1,111
112,City Hotel,164,2015,October,40,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,100.0,0,0,0,112
113,City Hotel,59,2016,November,45,2,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.1,0,2,0,113
114,Resort Hotel,312,2017,June,25,18,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,1,1,114
115,Resort Hotel,116,2016,April,15,4,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,Non Refund,0,Transient,72.0,0,0,1,115
116,Resort Hotel,31,2016,March,11,7,1,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,25.0,0,0,0,116
117,City Hotel,208,2017,June,22,1,1,3,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,127.72,0,1,0,117
118,City Hotel,247,2016,June,24,6,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,115.0,0,1,0,118
119,City Hotel,142,2016,April,18,29,0,2,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,65.0,0,1,0,119
120,City Hotel,90,2016,August,33,7,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,133.2,0,0,0,120
121,Resort Hotel,23,2016,January,5,29,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,43.0,0,1,0,121
122,Resort Hotel,155,2015,October,44,31,0,1,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0,Transient,36.0,0,0,1,122
123,City Hotel,215,2016,November,48,21,1,1,1,0.0,0,BB,SVK,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,75.0,0,0,0,123
124,Resort Hotel,6,2017,April,14,5,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,0,Transient,45.0,0,0,1,124
125,City Hotel,114,2017,February,7,15,0,4,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,78.0,0,0,0,125
126,City Hotel,105,2016,December,49,1,2,3,3,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,116.8,0,2,0,126
127,City Hotel,308,2016,September,36,1,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.69,0,0,0,127
128,Resort Hotel,2,2015,August,32,6,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,172.0,0,0,0,128
129,Resort Hotel,0,2016,April,15,6,0,1,2,2.0,0,BB,GBR,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,100.0,0,0,0,129
130,City Hotel,142,2017,June,26,28,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,125.0,0,0,1,130
131,City Hotel,159,2016,August,32,5,0,1,1,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.3,0,0,1,131
132,Resort Hotel,0,2016,February,7,9,0,3,2,0.0,0,BB,ESP,Direct,Direct,1,0,0,A,A,0,No Deposit,0,Transient,35.0,1,0,0,132
133,Resort Hotel,90,2016,June,27,26,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,123.33,0,1,1,133
134,City Hotel,155,2017,August,33,17,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,2,0,134
135,Resort Hotel,10,2016,February,7,8,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,98.0,0,1,0,135
136,Resort Hotel,4,2016,August,34,20,2,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,224.1,1,0,0,136
137,Resort Hotel,82,2016,December,50,7,0,4,2,0.0,0,BB,ESP,Groups,Direct,0,0,0,A,C,0,No Deposit,0,Transient-Party,33.3,0,0,0,137
138,City Hotel,7,2017,July,30,23,2,0,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,160.0,0,2,0,138
139,Resort Hotel,239,2015,September,38,19,1,1,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,80.0,0,0,0,139
140,City Hotel,42,2016,March,10,5,2,1,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,106.2,0,0,1,140
141,City Hotel,4,2016,March,11,11,0,2,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,183.5,0,2,0,141
142,City Hotel,22,2015,November,47,17,0,1,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,71.0,0,0,0,142
143,City Hotel,103,2016,April,17,19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,115.0,0,0,1,143
144,City Hotel,73,2015,November,48,24,0,3,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,27,Transient-Party,67.83,0,0,0,144
145,City Hotel,111,2016,August,32,6,2,1,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,148.5,0,2,0,145
146,Resort Hotel,33,2015,August,32,8,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,243.0,0,0,0,146
147,City Hotel,5,2016,September,38,12,1,2,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,177.33,0,0,1,147
148,City Hotel,281,2016,October,40,1,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,174,Transient-Party,96.0,0,0,1,148
149,City Hotel,25,2017,March,11,18,2,2,2,0.0,0,BB,KOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,102.43,0,0,1,149
150,City Hotel,109,2017,April,15,11,0,5,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,0,0,150
151,City Hotel,98,2016,December,49,2,0,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,1,1,151
152,City Hotel,75,2016,April,18,25,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,75.0,0,0,0,152
153,City Hotel,291,2016,December,52,24,2,6,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,146.2,0,0,1,153
154,City Hotel,69,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58,Transient-Party,85.67,0,0,0,154
155,Resort Hotel,140,2017,August,33,17,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,231.0,0,2,0,155
156,City Hotel,293,2017,May,21,25,0,3,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,159.3,0,1,0,156
